source,url,name,price_raw,price_vnd,brand,type,is_gaming,is_wireless,has_mic,connection,battery_life_hours,weight_gram
phongvu,https://phongvu.vn/tai-nghe-gaming-khong-day-arctis-nova-5-steelseries-trang--s241203142,Tai nghe gaming không dây Arctis Nova 5 SteelSeries (Trắng),3.590.000 ₫,3590000,Steelseries,over-ear,1,1,1,"2.4 GHz Wireless, Bluetooth 5.3",,267.0
phongvu,https://phongvu.vn/tai-nghe-jabra-evolve2-65-link-380a-ms-stereo-usb-a-black--s241104822,Tai nghe Jabra Evolve2 65 Link 380a MS Stereo USB-A Black,7.990.000 ₫,7990000,Jabra,over-ear,0,1,1,"USB, Bluetooth",,176.4
phongvu,https://phongvu.vn/tai-nghe-yealink-uh36-mono--s241104140,Tai nghe Yealink UH36 Mono,1.299.000 ₫,1299000,Yealink,over-ear,0,0,1,"USB, 3.5 mm",,1200.0
phongvu,https://phongvu.vn/tai-nghe-co-day-poly-blackwire-3320-usb-c-a-ms-teams-8x220aa--s240908893,Tai nghe có dây Poly Blackwire 3320 USB-C/A (MS Teams) (8X220AA),1.190.000 ₫,1190000,Poly,over-ear,0,0,1,"USB, USB Type-C",,131.0
phongvu,https://phongvu.vn/tai-nghe-gaming-khong-day-arctis-nova-5-steelseries-den--s240706065,Tai nghe gaming không dây Arctis Nova 5 SteelSeries (đen),3.590.000 ₫,3590000,Steelseries,over-ear,1,1,1,"Bluetooth 5.3, 2.4 GHz Wireless",,
phongvu,https://phongvu.vn/tai-nghe-razer-kraken-v3-hypersense-rz04-03770100-r3m1--s240704997,Tai nghe Razer Kraken V3 HyperSense (RZ04-03770100-R3M1),2.390.000 ₫,2390000,Razer,over-ear,0,0,1,USB,,
phongvu,https://phongvu.vn/tai-nghe-choang-dau-gaming-khong-day-arctis-nova-pro-wireless-kem-infinity-power-system-steelseries--s240403757,Tai nghe choàng đầu gaming không dây Arctis Nova Pro Wireless kèm Infinity Power System SteelSeries,8.650.000 ₫,8650000,Steelseries,over-ear,1,1,1,"2.4 GHz Wireless, Bluetooth 5.0",,
phongvu,https://phongvu.vn/tai-nghe-choang-dau-gaming-khong-day-arctis-nova-7-wireless-steelseries--s240302606,Tai nghe choàng đầu gaming không dây Arctis Nova 7 Wireless SteelSeries,5.599.000 ₫,5599000,Steelseries,over-ear,1,1,1,"2.4 GHz Wireless, Bluetooth",,
phongvu,https://phongvu.vn/tai-nghe-edifier-w820nb-xanh-da-troi--s240200127,Tai nghe EDIFIER W820NB - xanh da trời,949.000 ₫,949000,Edifier,over-ear,0,1,1,Bluetooth 5.0,,220.0
phongvu,https://phongvu.vn/tai-nghe-co-day-co-khung-choang-dau-dell-wh1022-0rmh97--s240200121,Tai nghe có dây có khung choàng đầu Dell WH1022 (0RMH97),890.000 ₫,890000,Dell,over-ear,0,0,1,"3.5 mm, USB",,121.0
phongvu,https://phongvu.vn/tai-nghe-gaming-cao-cap-madcatz-p-i-l-o-t-5--s240200115,Tai nghe Gaming Cao cấp Madcatz P.I.L.O.T. 5,1.499.000 ₫,1499000,Mad Catz,over-ear,1,0,1,USB,,369.0
phongvu,https://phongvu.vn/tai-nghe-gaming-cao-cap-madcatz-p-i-l-o-t-3--s240200114,Tai nghe Gaming Cao cấp Madcatz P.I.L.O.T. 3,1.049.000 ₫,1049000,Mad Catz,over-ear,1,0,1,3.5 mm,,320.0
phongvu,https://phongvu.vn/tai-nghe-gaming-khong-day-steelseries-arctis-nova-7-wireless-dragon--s240200100,Tai nghe gaming không dây SteelSeries Arctis Nova 7 Wireless Dragon,3.999.000 ₫,3999000,Steelseries,over-ear,1,1,1,"2.4 GHz Wireless, Bluetooth",,770.0
